Temperature,Rainfall,Soil_pH,N,P,K,Crop,Recommended_Fertilizer
27.69,147.96,6.07,4,4,4,7,NPK
24.51,156.64,5.56,4,4,4,7,NPK
27.27,141.95,6.1,4,4,4,7,NPK
25.49,152.42,5.47,4,4,4,7,NPK
24.59,162.74,6.21,4,4,4,7,NPK
26.09,172.9,5.41,4,4,4,4,NPK
24.54,150.2,6.36,4,4,4,7,NPK
29.74,192.44,6.31,4,4,4,4,NPK
24.64,154.92,6.37,4,4,4,7,NPK
26.92,194.9,5.54,4,4,4,4,NPK
25.75,144.79,5.76,4,4,4,7,NPK
29.13,154.24,5.44,4,4,4,7,NPK
24.1,150.95,5.55,4,4,4,7,NPK
27.73,145.42,6,4,4,4,7,NPK
26.14,195.41,6.04,4,4,4,4,NPK
27.99,147.74,5.42,4,4,4,7,NPK
25.54,199.49,6.44,4,4,4,7,NPK
22.09,231.44,6.34,4,4,4,4,NPK
25.43,195.36,5.46,4,4,4,4,NPK
29.52,131.21,6.46,4,4,4,7,NPK
27.44,145.54,5.54,4,4,4,7,NPK
24.97,204.7,6.77,4,4,4,4,NPK
29.53,194.31,6.12,4,2,2.5,4,NPK
26.52,144.63,5.59,4,4,4,7,NPK
27.29,142.94,5.94,4,4,4,7,NPK
26.51,199.77,6.14,4,4,4,7,NPK
26.45,221.23,6.01,4,4,4,7,NPK
20.62,249.55,6.93,4,4,4,4,NPK
24.64,205.55,5.76,4,4,4,7,NPK
29.4,215.2,6.07,4,4,4,7,NPK
21.74,202.37,6.95,4,4,4,4,NPK
26.74,214.41,6.1,4,4,4,7,NPK
29.2,211.25,5.96,4,4,4,7,NPK
