Soil_pH,N,P,K,Temperature,Rainfall,Crop,Recommended_Fertilizer
5.16,105,89,82,13.64,1428.78,1,Compost
7.33,71,85,113,17.18,2429.03,3,NPK
7.04,141,59,104,39.55,1799.24,0,NPK
5.79,88,74,75,23.36,1945.4,4,NPK
4.99,96,43,47,12.99,909.95,0,Compost
7.55,79,46,111,18.27,1960.73,3,Compost
6.99,151,67,68,24.96,1949.86,0,NPK
6.46,115,70,42,25.66,552.06,0,Compost
5.29,135,89,47,34.45,459.49,1,Compost
6.73,122,51,113,37.05,839.73,3,NPK
6.51,81,50,89,25.77,2706.81,4,NPK
4.65,99,47,94,18.89,2817.25,1,Compost
4.55,159,55,113,37.32,687.73,1,Compost
6.22,112,59,45,21.73,2869.19,0,Compost
5.46,125,86,98,25.26,2887.59,6,Compost
5.28,106,47,58,31.7,537.89,5,Compost
4.65,139,61,85,20.99,299.74,4,Compost
4.68,77,54,74,33.1,2050.4,1,Compost
6.25,64,71,83,19.97,2548.91,2,NPK
4.66,110,73,107,37.82,2645.22,2,Compost
4.93,101,63,112,33.91,2014.17,6,Compost
6.32,146,81,88,22.71,834.12,5,Compost
5.63,72,72,57,18.1,2326.42,2,NPK
5.77,80,51,94,21.96,1394.96,3,NPK
5.5,83,51,78,23.8,799.98,0,NPK
4.82,93,68,95,15.01,2037.89,5,Compost
5.24,151,47,70,36.81,2411.95,4,Compost
4.66,129,71,68,19.82,636.25,4,Compost
5.8,148,40,104,38.98,411.95,3,NPK
5.09,95,75,66,31.69,2146.47,6,Compost
6.76,109,41,115,14.57,213.97,1,NPK
4.85,103,80,109,10.69,1079.97,3,Compost
6.65,125,87,80,17.15,1540.96,6,NPK
5.03,112,72,110,21.48,2113.23,2,Compost
7.21,151,58,99,29.67,2917.77,1,NPK
7.45,137,41,117,38.07,2687.78,0,Compost
5.63,142,48,104,33.89,1326.42,4,NPK
6.08,121,73,86,21.05,1724.69,2,NPK
5.17,140,48,95,34.65,312.79,0,Compost
6.14,66,49,78,35.78,1938.92,3,NPK
7.15,131,84,110,33.98,670.32,1,NPK
4.83,90,53,111,24.73,1752.42,0,Compost
4.78,101,45,54,10.16,1571.68,2,Compost
6.7,60,57,55,33.62,1741.74,2,NPK
4.72,77,44,107,19.63,716.35,2,Compost
7.62,111,67,67,36.99,609.31,6,NPK
5.63,153,88,41,27.47,2810.22,1,Compost
4.61,137,47,41,21.99,2793.01,2,Compost
6.06,99,70,54,17.81,1748.02,2,NPK
5.62,64,79,52,32.1,2121.07,5,Compost
4.72,127,85,108,11.14,1562.46,0,Compost
5.12,80,56,60,39.14,1691.98,5,Compost
4.85,103,53,103,17.62,1206.99,3,Compost
6.3,149,67,41,20.23,1995.89,4,NPK
5.18,159,64,66,32.88,1268.14,0,Compost
5.41,60,46,64,18.66,881.54,5,Compost
6.44,84,64,73,16.17,751.29,1,Compost
5.4,155,70,91,13.87,406.96,2,Compost
5.06,141,80,57,11.8,2958.16,6,Compost
5.89,148,89,104,27.94,1908.21,0,NPK
5.78,144,72,105,28.92,2464.34,5,Compost
5.59,107,71,113,17.11,2369.21,5,Compost
4.7,91,86,67,28.85,343.52,5,Compost
5.34,66,48,103,33.99,2901.02,5,Compost
5.37,99,56,64,31.4,1532.62,5,Compost
5.3,138,73,108,29.13,1891.16,5,Compost
5.89,128,75,104,13.78,840.84,3,NPK
5.46,111,42,43,19.46,377.31,3,Compost
6.14,67,62,62,29.79,2462.47,1,Compost
7.27,113,66,43,19.71,711.53,4,NPK
7.56,80,80,108,31.01,937.46,4,NPK
5.68,65,74,101,36.63,816.06,1,NPK
5.74,108,49,110,27.47,2813.53,6,Compost
4.92,89,56,73,37.34,710.35,2,Compost
7.73,83,55,68,10.16,2016.5,4,NPK
7.08,67,77,94,25.77,1714.3,5,NPK
6.33,109,68,76,35.21,682.17,2,NPK
4.83,146,80,43,25.69,1187.51,2,Compost
